tmdbId,poster_path,title,movieId,poster_url,fetched_title
862,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Toy Story,1,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Toy Story
8844,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,Jumanji,2,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Jumanji
15602,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Grumpier Old Men,3,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,Grumpier Old Men
31357,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Waiting to Exhale,4,https://image.tmdb.org/t/p/w500/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,Waiting to Exhale
11862,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Father of the Bride Part II,5,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Father of the Bride Part II
949,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Heat,6,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,Heat
11860,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,Sabrina,7,https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg,Sabrina
45325,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Tom and Huck,8,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,Tom and Huck
9091,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Sudden Death,9,https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,Sudden Death
710,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,GoldenEye,10,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,GoldenEye
9087,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,The American President,11,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,The American President
12110,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Dracula: Dead and Loving It,12,https://image.tmdb.org/t/p/w500/fwdXQU3Dbs2CMHu8K87bAxlWV0t.jpg,Dracula: Dead and Loving It
21032,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Balto,13,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Balto
10858,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Nixon,14,https://image.tmdb.org/t/p/w500/8O2sBYJq0K0EMpw67cU1PjVJ7w3.jpg,Nixon
1408,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Cutthroat Island,15,https://image.tmdb.org/t/p/w500/cDYa1i5UzXWztO5ZUp4azv7ycPs.jpg,Cutthroat Island
524,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Casino,16,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,Casino
4584,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Sense and Sensibility,17,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,Sense and Sensibility
5,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Four Rooms,18,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,Four Rooms
9273,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,Ace Ventura: When Nature Calls,19,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,Ace Ventura: When Nature Calls
11517,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Money Train,20,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,Money Train
8012,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Get Shorty,21,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,Get Shorty
1710,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Copycat,22,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,Copycat
9691,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Assassins,23,https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,Assassins
12665,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,Powder,24,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,Powder
451,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,Leaving Las Vegas,25,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,Leaving Las Vegas
16420,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,Othello,26,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,Othello
9263,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,Now and Then,27,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,Now and Then
17015,/si8911IezMvAnQFDvyg1nKzDlD.jpg,Persuasion,28,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,Persuasion
902,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,The City of Lost Children,29,https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,The City of Lost Children
37557,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,Shanghai Triad,30,https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,Shanghai Triad
9909,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,Dangerous Minds,31,https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,Dangerous Minds
63,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Twelve Monkeys,32,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,Twelve Monkeys
78802,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,Wings of Courage,33,https://image.tmdb.org/t/p/w500/zoxqNb6v55C35DDqNn03Grzhzgr.jpg,Wings of Courage
9598,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,Babe,34,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,Babe
47018,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,Carrington,35,https://image.tmdb.org/t/p/w500/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,Carrington
687,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Dead Man Walking,36,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,Dead Man Walking
139405,/lKOAyy098yjoot8cutYsStVO1WS.jpg,Across the Sea of Time,37,https://image.tmdb.org/t/p/w500/iP0bT4f4BTAZ6fWKgLmd4lNeJ2H.jpg,Across the Sea of Time
33689,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,It Takes Two,38,https://image.tmdb.org/t/p/w500/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,It Takes Two
9603,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,Clueless,39,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,Clueless
